start time (s),finish time (s),time diff (s),file size (b),transmitted (b),block size (b),transfer speed (b/s),write to file,transfer complete
1693405258.5601664,1693405258.5603771,0.00021076202392578125,1,1,512,4744,False,True
1693405258.598019,1693405258.5981202,0.00010132789611816406,1,1,1024,9868,False,True
1693405258.6296833,1693405258.629771,8.7738037109375e-05,1,1,2048,11397,False,True
1693405258.660267,1693405258.6605365,0.0002694129943847656,1,1,512,3711,True,True
1693405258.6901417,1693405258.690647,0.0005052089691162109,1,1,1024,1979,True,True
1693405258.719962,1693405258.7202196,0.00025773048400878906,1,1,2048,3880,True,True
1693405258.7530918,1693405258.7532394,0.0001475811004638672,2,2,512,13551,False,True
1693405258.7823741,1693405258.7825131,0.00013899803161621094,2,2,1024,14388,False,True
1693405258.8134832,1693405258.8136137,0.0001304149627685547,2,2,2048,15335,False,True
1693405258.840963,1693405258.841189,0.00022602081298828125,2,2,512,8848,True,True
1693405258.8693268,1693405258.8695724,0.0002455711364746094,2,2,1024,8144,True,True
1693405258.8997202,1693405258.900038,0.0003178119659423828,2,2,2048,6293,True,True
1693405258.928356,1693405258.9285243,0.00016832351684570312,4,4,512,23763,False,True
1693405258.958927,1693405258.9590364,0.00010943412780761719,4,4,1024,36551,False,True
1693405258.991311,1693405258.9916852,0.00037407875061035156,4,4,2048,10692,False,True
1693405259.0260353,1693405259.0263112,0.0002758502960205078,4,4,512,14500,True,True
1693405259.0575728,1693405259.0578406,0.0002677440643310547,4,4,1024,14939,True,True
1693405259.0904129,1693405259.0906847,0.00027179718017578125,4,4,2048,14716,True,True
1693405259.1240435,1693405259.124274,0.00023055076599121094,8,8,512,34699,False,True
1693405259.151635,1693405259.1518095,0.00017452239990234375,8,8,1024,45839,False,True
1693405259.1806679,1693405259.180851,0.00018310546875,8,8,2048,43690,False,True
1693405259.2075164,1693405259.2079415,0.00042510032653808594,8,8,512,18819,True,True
1693405259.2374175,1693405259.2377481,0.0003306865692138672,8,8,1024,24192,True,True
1693405259.2684975,1693405259.2691329,0.0006353855133056641,8,8,2048,12590,True,True
1693405259.3106446,1693405259.3107672,0.00012254714965820312,16,16,512,130561,False,True
1693405259.338755,1693405259.338888,0.00013303756713867188,16,16,1024,120266,False,True
1693405259.3775969,1693405259.3777,0.00010323524475097656,16,16,2048,154985,False,True
1693405259.4103322,1693405259.410542,0.000209808349609375,16,16,512,76260,True,True
1693405259.4370582,1693405259.4372818,0.00022363662719726562,16,16,1024,71544,True,True
1693405259.4651177,1693405259.4653218,0.0002040863037109375,16,16,2048,78398,True,True
1693405259.4910805,1693405259.491187,0.00010657310485839844,32,32,512,300263,False,True
1693405259.5165384,1693405259.5166767,0.00013828277587890625,32,32,1024,231409,False,True
1693405259.5473866,1693405259.547503,0.0001163482666015625,32,32,2048,275036,False,True
1693405259.5875127,1693405259.5883472,0.0008344650268554688,32,32,512,38347,True,True
1693405259.6270015,1693405259.627262,0.0002605915069580078,32,32,1024,122797,True,True
1693405259.6614795,1693405259.6618118,0.0003323554992675781,32,32,2048,96282,True,True
1693405259.6888225,1693405259.6889791,0.00015664100646972656,64,64,512,408577,False,True
1693405259.714444,1693405259.71455,0.00010609626770019531,64,64,1024,603225,False,True
1693405259.7410333,1693405259.7411306,9.72747802734375e-05,64,64,2048,657930,False,True
1693405259.7724683,1693405259.7727993,0.00033092498779296875,64,64,512,193397,True,True
1693405259.804849,1693405259.805293,0.00044417381286621094,64,64,1024,144087,True,True
1693405259.8405323,1693405259.8408058,0.0002734661102294922,64,64,2048,234032,True,True
1693405259.8752024,1693405259.8756275,0.00042510032653808594,128,128,512,301105,False,True
1693405259.908792,1693405259.9089372,0.00014519691467285156,128,128,1024,881561,False,True
1693405259.9361613,1693405259.9363685,0.0002071857452392578,128,128,2048,617803,False,True
1693405259.979277,1693405259.9796143,0.00033736228942871094,128,128,512,379414,True,True
1693405260.0111504,1693405260.0113797,0.00022935867309570312,128,128,1024,558077,True,True
1693405260.0461452,1693405260.0464935,0.0003483295440673828,128,128,2048,367468,True,True
1693405260.0837364,1693405260.083893,0.00015664100646972656,256,256,512,1634310,False,True
1693405260.1146731,1693405260.1147964,0.0001232624053955078,256,256,1024,2076870,False,True
1693405260.14152,1693405260.1416385,0.00011849403381347656,256,256,2048,2160446,False,True
1693405260.1650302,1693405260.165286,0.00025582313537597656,256,256,512,1000691,True,True
1693405260.1895435,1693405260.1897721,0.00022864341735839844,256,256,1024,1119647,True,True
1693405260.2174985,1693405260.2177718,0.0002732276916503906,256,256,2048,936947,True,True
1693405260.2477758,1693405260.247908,0.0001323223114013672,512,512,512,3869339,False,True
1693405260.2737973,1693405260.2739913,0.00019407272338867188,512,512,1024,2638186,False,True
1693405260.3059585,1693405260.3060827,0.00012421607971191406,512,512,2048,4121849,False,True
1693405260.3334935,1693405260.333716,0.0002224445343017578,512,512,512,2301697,True,True
1693405260.362725,1693405260.3630905,0.0003654956817626953,512,512,1024,1400837,True,True
1693405260.398504,1693405260.3988593,0.0003552436828613281,512,512,2048,1441264,True,True
1693405260.4252293,1693405260.4253757,0.00014638900756835938,1024,1024,512,6995060,False,True
1693405260.4494267,1693405260.449549,0.00012230873107910156,1024,1024,1024,8372255,False,True
1693405260.4879851,1693405260.4883099,0.0003247261047363281,1024,1024,2048,3153426,False,True
1693405260.5144203,1693405260.514705,0.0002846717834472656,1024,1024,512,3597125,True,True
1693405260.5407665,1693405260.5409968,0.00023031234741210938,1024,1024,1024,4446135,True,True
1693405260.5660932,1693405260.566395,0.0003018379211425781,1024,1024,2048,3392549,True,True
1693405260.592499,1693405260.5927594,0.00026035308837890625,2048,2048,512,7866240,False,True
1693405260.6167235,1693405260.6168945,0.0001709461212158203,2048,2048,1024,11980382,False,True
1693405260.645211,1693405260.6453774,0.00016641616821289062,2048,2048,2048,12306496,False,True
1693405260.6700444,1693405260.6706786,0.0006341934204101562,2048,2048,512,3229298,True,True
1693405260.6969965,1693405260.697302,0.0003056526184082031,2048,2048,1024,6700416,True,True
1693405260.720046,1693405260.7204247,0.00037860870361328125,2048,2048,2048,5409278,True,True
1693405260.7424653,1693405260.7428675,0.00040221214294433594,4096,4096,512,10183680,False,True
1693405260.7652614,1693405260.7655065,0.00024509429931640625,4096,4096,1024,16711935,False,True
1693405260.7870233,1693405260.7871985,0.00017523765563964844,4096,4096,2048,23373971,False,True
1693405260.8124392,1693405260.8129997,0.0005605220794677734,4096,4096,512,7307473,True,True
1693405260.8479168,1693405260.8484163,0.0004994869232177734,4096,4096,1024,8200414,True,True
1693405260.8754582,1693405260.8757787,0.0003204345703125,4096,4096,2048,12782640,True,True
1693405260.9022114,1693405260.9031615,0.0009500980377197266,8192,8192,512,8622268,False,True
1693405260.9270847,1693405260.977928,0.050843238830566406,8192,8192,1024,161122,False,True
1693405261.0636926,1693405261.0914369,0.027744293212890625,8192,8192,2048,295267,False,True
1693405261.1283484,1693405261.2444787,0.11613035202026367,8192,8192,512,70541,True,True
1693405261.2705326,1693405261.3920722,0.12153959274291992,8192,8192,1024,67401,True,True
1693405261.4167616,1693405261.5099905,0.09322881698608398,8192,8192,2048,87869,True,True
1693405261.5413904,1693405261.8096273,0.2682368755340576,16384,16384,512,61080,False,True
1693405261.8666234,1693405262.0568318,0.19020843505859375,16384,16384,1024,86137,False,True
1693405262.0908782,1693405262.2637973,0.17291903495788574,16384,16384,2048,94749,False,True
1693405262.3158672,1693405262.570923,0.25505590438842773,16384,16384,512,64236,True,True
1693405262.6405532,1693405262.8171017,0.17654848098754883,16384,16384,1024,92801,True,True
1693405262.8632002,1693405263.0182734,0.1550731658935547,16384,16384,2048,105653,True,True
1693405263.087879,1693405263.962209,0.8743300437927246,32768,32768,512,37477,False,True
1693405264.0225317,1693405264.3798647,0.3573329448699951,32768,32768,1024,91701,False,True
1693405264.4474905,1693405264.8843296,0.43683910369873047,32768,32768,2048,75011,False,True
1693405264.9098155,1693405265.4746685,0.5648529529571533,32768,32768,512,58011,True,True
1693405265.5347264,1693405266.2106874,0.6759610176086426,32768,32768,1024,48476,True,True
1693405266.260416,1693405266.6562552,0.39583921432495117,32768,32768,2048,82781,True,True
1693405266.6970441,1693405267.835283,1.1382389068603516,65536,65536,512,57576,False,True
1693405267.8569963,1693405269.0263176,1.1693212985992432,65536,65536,1024,56046,False,True
1693405269.0826857,1693405270.0529609,0.9702751636505127,65536,65536,2048,67543,False,True
1693405270.107761,1693405271.5748703,1.4671094417572021,65536,65536,512,44670,True,True
1693405271.6348915,1693405272.705217,1.0703253746032715,65536,65536,1024,61229,True,True
1693405272.7616012,1693405273.8737247,1.1121234893798828,65536,65536,2048,58928,True,True
1693405273.8981342,1693405276.9089963,3.010862112045288,131072,131072,512,43533,False,True
1693405276.9384336,1693405279.132361,2.19392728805542,131072,131072,1024,59743,False,True
1693405279.1737788,1693405281.4477913,2.274012565612793,131072,131072,2048,57639,False,True
1693405281.5101385,1693405284.4402716,2.930133104324341,131072,131072,512,44732,True,True
1693405284.4680097,1693405286.710171,2.242161273956299,131072,131072,1024,58457,True,True
1693405286.7371616,1693405290.1442897,3.407128095626831,131072,131072,2048,38469,True,True
1693405290.2741756,1693405296.2036617,5.929486036300659,262144,262144,512,44210,False,True
1693405296.2364833,1693405300.6015646,4.365081310272217,262144,262144,1024,60054,False,True
1693405300.6283228,1693405305.1385539,4.510231018066406,262144,262144,2048,58122,False,True
1693405305.1747265,1693405311.2571156,6.0823891162872314,262144,262144,512,43098,True,True
1693405311.3236637,1693405315.7215216,4.397857904434204,262144,262144,1024,59607,True,True
1693405315.7660341,1693405320.4533777,4.687343597412109,262144,262144,2048,55925,True,True
1693405320.610351,1693405335.7450442,15.134693145751953,524288,524288,512,34641,False,True
1693405335.8007102,1693405344.5213614,8.720651149749756,524288,524288,1024,60120,False,True
1693405344.5605521,1693405353.6164339,9.05588173866272,524288,524288,2048,57894,False,True
1693405353.650427,1693405365.7591708,12.108743667602539,524288,524288,512,43298,True,True
1693405365.8223515,1693405374.601943,8.77959156036377,524288,524288,1024,59716,True,True
