start time,finish time,time diff,file size,transmitted,block size,transfer speed (b/s),write to file,transfer complete
1693404936.8016703,1693404936.801778,0.00010776519775390625,1,1,512,9279,False,True
1693404936.8413432,1693404936.8416328,0.00028967857360839844,1,1,1024,3452,False,True
1693404936.8763475,1693404936.8766198,0.0002722740173339844,1,1,2048,3672,False,True
1693404936.911062,1693404936.9115415,0.0004794597625732422,1,1,512,2085,True,True
1693404936.9457333,1693404936.9460695,0.0003361701965332031,1,1,1024,2974,True,True
1693404936.9738154,1693404936.9741786,0.0003631114959716797,1,1,2048,2753,True,True
1693404937.0032327,1693404937.0033946,0.00016188621520996094,2,2,512,12354,False,True
1693404937.0335886,1693404937.0337605,0.00017189979553222656,2,2,1024,11634,False,True
1693404937.0661983,1693404937.0663664,0.00016808509826660156,2,2,2048,11898,False,True
1693404937.097454,1693404937.0978534,0.0003993511199951172,2,2,512,5008,True,True
1693404937.1271763,1693404937.1275413,0.0003650188446044922,2,2,1024,5479,True,True
1693404937.1584563,1693404937.1586828,0.00022649765014648438,2,2,2048,8830,True,True
1693404937.190851,1693404937.1909645,0.00011348724365234375,4,4,512,35246,False,True
1693404937.2212245,1693404937.221388,0.00016355514526367188,4,4,1024,24456,False,True
1693404937.2570758,1693404937.2571785,0.00010275840759277344,4,4,2048,38926,False,True
1693404937.2935243,1693404937.2938476,0.00032329559326171875,4,4,512,12372,True,True
1693404937.3309035,1693404937.331155,0.00025153160095214844,4,4,1024,15902,True,True
1693404937.3620937,1693404937.3626049,0.00051116943359375,4,4,2048,7825,True,True
1693404937.393658,1693404937.393946,0.0002880096435546875,8,8,512,27776,False,True
1693404937.4195325,1693404937.419651,0.00011849403381347656,8,8,1024,67513,False,True
1693404937.4509714,1693404937.4511518,0.0001804828643798828,8,8,2048,44325,False,True
1693404937.4822648,1693404937.4825058,0.0002410411834716797,8,8,512,33189,True,True
1693404937.51395,1693404937.5142775,0.0003273487091064453,8,8,1024,24438,True,True
1693404937.5451174,1693404937.5453818,0.0002644062042236328,8,8,2048,30256,True,True
1693404937.5723798,1693404937.5724943,0.00011444091796875,16,16,512,139810,False,True
1693404937.5985975,1693404937.5986984,0.00010085105895996094,16,16,1024,158649,False,True
1693404937.6297963,1693404937.6299813,0.0001850128173828125,16,16,2048,86480,False,True
1693404937.6590285,1693404937.6593308,0.00030231475830078125,16,16,512,52924,True,True
1693404937.6892495,1693404937.6894674,0.00021791458129882812,16,16,1024,73423,True,True
1693404937.7280638,1693404937.72832,0.0002560615539550781,16,16,2048,62484,True,True
1693404937.7556212,1693404937.755785,0.00016379356384277344,32,32,512,195367,False,True
1693404937.8016658,1693404937.8018417,0.00017595291137695312,32,32,1024,181866,False,True
1693404937.8445814,1693404937.8447208,0.00013947486877441406,32,32,2048,229432,False,True
1693404937.8708053,1693404937.8712025,0.0003972053527832031,32,32,512,80562,True,True
1693404937.8986685,1693404937.8989449,0.00027632713317871094,32,32,1024,115804,True,True
1693404937.9245393,1693404937.9248896,0.0003502368927001953,32,32,2048,91366,True,True
1693404937.9463727,1693404937.9464822,0.00010943412780761719,64,64,512,584826,False,True
1693404937.9732172,1693404937.973354,0.00013685226440429688,64,64,1024,467657,False,True
1693404938.0007687,1693404938.0009277,0.0001590251922607422,64,64,2048,402451,False,True
1693404938.025449,1693404938.0257256,0.0002765655517578125,64,64,512,231409,True,True
1693404938.0537152,1693404938.0540235,0.0003082752227783203,64,64,1024,207606,True,True
1693404938.0920036,1693404938.0923007,0.0002970695495605469,64,64,2048,215437,True,True
1693404938.1232212,1693404938.1233578,0.0001366138458251953,128,128,512,936947,False,True
1693404938.1460068,1693404938.1461112,0.00010442733764648438,128,128,1024,1225732,False,True
1693404938.1699064,1693404938.1700058,9.942054748535156e-05,128,128,2048,1287460,False,True
1693404938.1919837,1693404938.1922488,0.0002651214599609375,128,128,512,482797,True,True
1693404938.212624,1693404938.2128599,0.0002357959747314453,128,128,1024,542842,True,True
1693404938.2334192,1693404938.233723,0.0003037452697753906,128,128,2048,421405,True,True
1693404938.2612085,1693404938.2613811,0.00017261505126953125,256,256,512,1483068,False,True
1693404938.2835019,1693404938.2836266,0.0001246929168701172,256,256,1024,2053043,False,True
1693404938.3054981,1693404938.3056023,0.00010418891906738281,256,256,2048,2457075,False,True
1693404938.32911,1693404938.329416,0.00030612945556640625,256,256,512,836247,True,True
1693404938.3548787,1693404938.35526,0.00038123130798339844,256,256,1024,671508,True,True
1693404938.381352,1693404938.3817258,0.00037384033203125,256,256,2048,684784,True,True
1693404938.4103749,1693404938.410482,0.00010704994201660156,512,512,512,4782814,False,True
1693404938.4336793,1693404938.4337842,0.0001049041748046875,512,512,1024,4880644,False,True
1693404938.457092,1693404938.457235,0.0001430511474609375,512,512,2048,3579139,False,True
1693404938.478341,1693404938.4785604,0.0002193450927734375,512,512,512,2334221,True,True
1693404938.5019238,1693404938.502188,0.00026416778564453125,512,512,1024,1938162,True,True
1693404938.5242724,1693404938.5245268,0.0002543926239013672,512,512,2048,2012636,True,True
1693404938.5515916,1693404938.5518312,0.0002396106719970703,1024,1024,512,4273599,False,True
1693404938.5853496,1693404938.5854852,0.00013566017150878906,1024,1024,1024,7548272,False,True
1693404938.6106143,1693404938.6107457,0.00013136863708496094,1024,1024,2048,7794858,False,True
1693404938.6339424,1693404938.6344259,0.00048351287841796875,1024,1024,512,2117833,True,True
1693404938.6588736,1693404938.6592772,0.0004036426544189453,1024,1024,1024,2536897,True,True
1693404938.6969688,1693404938.6972241,0.00025534629821777344,1024,1024,2048,4010240,True,True
1693404938.71756,1693404938.7179346,0.0003745555877685547,2048,2048,512,5467813,False,True
1693404938.7427344,1693404938.7429097,0.00017523765563964844,2048,2048,1024,11686985,False,True
1693404938.7676687,1693404938.7677972,0.0001285076141357422,2048,2048,2048,15936798,False,True
1693404938.7910545,1693404938.7915092,0.0004546642303466797,2048,2048,512,4504422,True,True
1693404938.8139246,1693404938.8142457,0.0003211498260498047,2048,2048,1024,6377085,True,True
1693404938.8354304,1693404938.835669,0.00023865699768066406,2048,2048,2048,8581353,True,True
1693404938.8702452,1693404938.8705804,0.0003352165222167969,4096,4096,512,12218968,False,True
1693404938.8928728,1693404938.8932018,0.00032901763916015625,4096,4096,1024,12449180,False,True
1693404938.917809,1693404938.918018,0.0002090930938720703,4096,4096,2048,19589360,False,True
1693404938.9467597,1693404938.947236,0.0004763603210449219,4096,4096,512,8598533,True,True
1693404938.969887,1693404938.9703844,0.0004973411560058594,4096,4096,1024,8235795,True,True
1693404938.9923766,1693404938.9927354,0.00035881996154785156,4096,4096,2048,11415195,True,True
1693404939.0194795,1693404939.0201383,0.0006587505340576172,8192,8192,512,12435663,False,True
1693404939.0455196,1693404939.045905,0.00038552284240722656,8192,8192,1024,21249065,False,True
1693404939.0684745,1693404939.0687656,0.0002911090850830078,8192,8192,2048,28140653,False,True
1693404939.0918512,1693404939.0928297,0.0009784698486328125,8192,8192,512,8372255,True,True
1693404939.1144578,1693404939.1150482,0.0005903244018554688,8192,8192,1024,13877115,True,True
1693404939.1378217,1693404939.138242,0.0004203319549560547,8192,8192,2048,19489358,True,True
1693404939.1598368,1693404939.16114,0.0013031959533691406,16384,16384,512,12572169,False,True
1693404939.1844692,1693404939.185138,0.0006687641143798828,16384,16384,1024,24498922,False,True
1693404939.2063646,1693404939.2067816,0.0004169940948486328,16384,16384,2048,39290724,False,True
1693404939.2272346,1693404939.2385724,0.011337757110595703,16384,16384,512,1445082,True,True
1693404939.2684877,1693404939.4089117,0.14042401313781738,16384,16384,1024,116675,True,True
1693404939.4427478,1693404939.489574,0.04682612419128418,16384,16384,2048,349890,True,True
1693404939.520232,1693404940.1277854,0.6075534820556641,32768,32768,512,53934,False,True
1693404940.1624327,1693404940.4480164,0.2855837345123291,32768,32768,1024,114740,False,True
1693404940.4904127,1693404940.6083343,0.11792159080505371,32768,32768,2048,277879,False,True
1693404940.6376765,1693404941.2489684,0.6112918853759766,32768,32768,512,53604,True,True
1693404941.2769287,1693404941.5684664,0.2915377616882324,32768,32768,1024,112397,True,True
1693404941.6001563,1693404941.728776,0.12861967086791992,32768,32768,2048,254766,True,True
1693404941.757892,1693404943.007973,1.2500810623168945,65536,65536,512,52425,False,True
1693404943.038624,1693404943.6484275,0.6098034381866455,65536,65536,1024,107470,False,True
1693404943.6722357,1693404943.9685612,0.2963254451751709,65536,65536,2048,221162,False,True
1693404943.9969018,1693404945.2501433,1.2532415390014648,65536,65536,512,52293,True,True
1693404945.326771,1693404945.8917525,0.5649814605712891,65536,65536,1024,115996,True,True
1693404945.9525278,1693404946.209987,0.2574591636657715,65536,65536,2048,254549,True,True
1693404946.2797294,1693404948.7688463,2.489116907119751,131072,131072,512,52658,False,True
1693404948.8121626,1693404950.046889,1.2347264289855957,131072,131072,1024,106154,False,True
1693404950.076171,1693404950.7068386,0.6306676864624023,131072,131072,2048,207830,False,True
1693404950.7300892,1693404953.2433574,2.513268232345581,131072,131072,512,52152,True,True
1693404953.2886848,1693404954.522346,1.23366117477417,131072,131072,1024,106246,True,True
1693404954.5523057,1693404955.1802437,0.6279380321502686,131072,131072,2048,208733,True,True
1693404955.2098749,1693404960.2893384,5.079463481903076,262144,262144,512,51608,False,True
1693404960.3517451,1693404962.8473501,2.495604991912842,262144,262144,1024,105042,False,True
1693404962.8888254,1693404964.135273,1.2464475631713867,262144,262144,2048,210312,False,True
1693404964.172968,1693404969.253617,5.080649137496948,262144,262144,512,51596,True,True
1693404969.3156075,1693404971.8203447,2.504737138748169,262144,262144,1024,104659,True,True
1693404971.8593616,1693404973.1014206,1.2420589923858643,262144,262144,2048,211055,True,True
1693404973.1319034,1693404983.335205,10.203301668167114,524288,524288,512,51384,False,True
1693404983.3932934,1693404988.4623754,5.069082021713257,524288,524288,1024,103428,False,True
1693404988.5405238,1693404991.030972,2.490448236465454,524288,524288,2048,210519,False,True
1693404991.0785553,1693405001.2556822,10.17712688446045,524288,524288,512,51516,True,True
1693405001.2833114,1693405006.3763447,5.093033313751221,524288,524288,1024,102942,True,True
1693405006.4227352,1693405008.9519618,2.529226541519165,524288,524288,2048,207291,True,True
1693405008.981144,1693405029.4319882,20.450844287872314,1048576,1048576,512,51272,False,True
1693405029.4766715,1693405039.6683648,10.191693305969238,1048576,1048576,1024,102885,False,True
1693405039.7402253,1693405044.794531,5.054305791854858,1048576,1048576,2048,207461,False,True
1693405044.8250217,1693405065.2768419,20.451820135116577,1048576,1048576,512,51270,True,True
1693405065.3346756,1693405075.5097945,10.175118923187256,1048576,1048576,1024,103052,True,True
1693405075.5481195,1693405080.6485422,5.100422620773315,1048576,1048576,2048,205586,True,True
