start time,finish time,time diff,file size,transmitted,block size,transfer speed (b/s),write to file,transfer complete
1693336273.4637883,1693336274.0436316,0.579843282699585,38000,38000,2048,65534,False,True
1693336393.2859626,1693336394.8810232,1.5950605869293213,57000,57000,512,35735,False,True
1693336394.9255612,1693336396.0449219,1.1193606853485107,57000,57000,1024,50921,False,True
1693336396.07676,1693336397.0063848,0.9296247959136963,57000,57000,2048,61315,False,True
1693336397.0521512,1693336398.7291305,1.6769793033599854,57000,57000,512,33989,True,True
1693336448.8992188,1693336450.0714123,1.1721935272216797,63000,63000,2048,53745,True,True
1693336450.146147,1693336451.9168336,1.7706866264343262,64000,64000,512,36144,False,True
1693336451.9902282,1693336453.2039661,1.213737964630127,64000,64000,1024,52729,False,True
1693336453.235749,1693336454.3272207,1.0914716720581055,64000,64000,2048,58636,False,True
1693336454.3709085,1693336456.1719398,1.8010313510894775,64000,64000,512,35535,True,True
1693336456.21589,1693336457.4375324,1.2216424942016602,64000,64000,1024,52388,True,True
1693336457.466668,1693336458.5656404,1.0989725589752197,64000,64000,2048,58236,True,True
1693336458.6114125,1693336460.482728,1.8713154792785645,65000,65000,512,34734,False,True
1693336460.5447009,1693336461.8636587,1.318957805633545,65000,65000,1024,49281,False,True
1693336461.8910475,1693336463.045466,1.1544184684753418,65000,65000,2048,56305,False,True
1693336463.123886,1693336465.114146,1.9902598857879639,65000,65000,512,32659,True,True
1693336465.1572063,1693336466.4653518,1.308145523071289,65000,65000,1024,49688,True,True
1693336466.495785,1693336467.6660545,1.17026948928833,65000,65000,2048,55542,True,True
1693336467.7264652,1693336469.6988654,1.972400188446045,66000,66000,512,33461,False,True
1693336469.762099,1693336471.1500907,1.3879916667938232,66000,66000,1024,47550,False,True
1693336471.1952076,1693336472.3776174,1.1824097633361816,66000,66000,2048,55818,False,True
1693336472.4306097,1693336474.3229396,1.8923299312591553,66000,66000,512,34877,True,True
1693336474.363764,1693336475.6597185,1.2959544658660889,66000,66000,1024,50927,True,True
1693336475.6967409,1693336476.8044581,1.1077172756195068,66000,66000,2048,59581,True,True
1693336476.8559563,1693336478.7632864,1.90733003616333,67000,67000,512,35127,False,True
1693336478.7952344,1693336480.1356668,1.3404324054718018,67000,67000,1024,49983,False,True
1693336480.1690502,1693336481.3466177,1.177567481994629,67000,67000,2048,56896,False,True
1693336481.4028926,1693336483.3160717,1.9131791591644287,67000,67000,512,35020,True,True
1693336483.3550444,1693336484.6577919,1.3027474880218506,67000,67000,1024,51429,True,True
1693336484.6979823,1693336485.838315,1.1403326988220215,67000,67000,2048,58754,True,True
1693336485.8929877,1693336487.829634,1.9366462230682373,68000,68000,512,35112,False,True
1693336487.8567665,1693336489.2568312,1.4000647068023682,68000,68000,1024,48569,False,True
1693336489.297223,1693336490.6860726,1.3888494968414307,68000,68000,2048,48961,False,True
1693336490.729589,1693336492.448009,1.7184200286865234,68000,68000,512,39571,True,True
1693336492.4828918,1693336493.9322484,1.4493565559387207,68000,68000,1024,46917,True,True
1693336493.9638505,1693336495.1851907,1.2213401794433594,68000,68000,2048,55676,True,True
1693336495.2222955,1693336497.2808156,2.0585200786590576,69000,69000,512,33519,False,True
1693336522.361583,1693336522.3618617,0.00027871131896972656,1000,1000,512,3587941,False,True
1693336522.414738,1693336522.4149334,0.00019550323486328125,1000,1000,1024,5115004,False,True
1693336522.4732966,1693336522.4734747,0.0001780986785888672,1000,1000,2048,5614864,False,True
1693336522.5166144,1693336522.517892,0.0012774467468261719,1000,1000,512,782811,True,True
1693336522.5632427,1693336522.563569,0.00032639503479003906,1000,1000,1024,3063772,True,True
1693336522.596453,1693336522.5966933,0.000240325927734375,1000,1000,2048,4161015,True,True
1693336522.6307158,1693336522.6310046,0.0002887248992919922,2000,2000,512,6927009,False,True
1693336522.6740832,1693336522.6742847,0.0002014636993408203,2000,2000,1024,9927346,False,True
1693336522.7125478,1693336522.712788,0.000240325927734375,2000,2000,2048,8322031,False,True
1693336522.737925,1693336522.738356,0.000431060791015625,2000,2000,512,4639716,True,True
1693336522.7681348,1693336522.7684457,0.0003108978271484375,2000,2000,1024,6432981,True,True
1693336522.807883,1693336522.8082745,0.0003914833068847656,2000,2000,2048,5108774,True,True
1693336522.8340108,1693336522.834364,0.00035309791564941406,3000,3000,512,8496226,False,True
1693336522.8702545,1693336522.8770401,0.00678563117980957,3000,3000,1024,442110,False,True
1693336522.9153528,1693336522.936753,0.02140021324157715,3000,3000,2048,140185,False,True
1693336522.9709632,1693336523.020127,0.049163818359375,3000,3000,512,61020,True,True
1693336523.0696542,1693336523.0900939,0.020439624786376953,3000,3000,1024,146773,True,True
1693336523.1240275,1693336523.1372976,0.013270139694213867,3000,3000,2048,226071,True,True
1693336523.1807258,1693336523.254058,0.07333207130432129,4000,4000,512,54546,False,True
1693336523.31053,1693336523.3459702,0.03544020652770996,4000,4000,1024,112866,False,True
1693336523.3883293,1693336523.4157205,0.02739119529724121,4000,4000,2048,146032,False,True
1693336523.4551373,1693336523.5317454,0.07660818099975586,4000,4000,512,52213,True,True
1693336523.5876572,1693336523.6802344,0.09257721900939941,4000,4000,1024,43207,True,True
1693336523.7276008,1693336523.7581778,0.03057694435119629,4000,4000,2048,130817,True,True
1693336523.7890937,1693336523.8752878,0.08619403839111328,5000,5000,512,58008,False,True
1693336523.922283,1693336523.9547865,0.032503604888916016,5000,5000,1024,153829,False,True
1693336523.9948633,1693336524.0339546,0.03909134864807129,5000,5000,2048,127905,False,True
1693336524.0699584,1693336524.151322,0.08136343955993652,5000,5000,512,61452,True,True
1693336524.1999493,1693336524.2286904,0.028741121292114258,5000,5000,1024,173966,True,True
1693336524.2613657,1693336524.3033223,0.04195666313171387,5000,5000,2048,119170,True,True
1693336524.3404253,1693336524.4565868,0.11616158485412598,6000,6000,512,51652,False,True
1693336524.4885638,1693336524.5605326,0.07196879386901855,6000,6000,1024,83369,False,True
1693336524.6222622,1693336524.6427147,0.020452499389648438,6000,6000,2048,293362,False,True
1693336524.6783037,1693336524.7846143,0.10631060600280762,6000,6000,512,56438,True,True
